Poll source,Date,"Hillary Clinton
Democratic","Donald Trump
Republican","Gary Johnson
Libertarian","Jill Stein
Green","Leading by
(points)","Sample
size","Margin
of error"
YouGov/The Economist[7],"November 4–7, 2016",45%,41%,5%,2%,4,"3,677",± 1.7%
Insights West[555],"November 4–7, 2016",49%,45%,4%,1%,4,940,± 3.2%
Bloomberg News/Selzer[8],"November 4–6, 2016",44%,41%,4%,2%,3,799,± 3.5%
Gravis Marketing[556],"November 3–6, 2016",47%,43%,3%,2%,4,"16,639",± 0.8%
ABC News/Washington Post[9],"November 3–6, 2016",47%,43%,4%,1%,4,"2,220",± 2.5%
Fox News[10],"November 3–6, 2016",48%,44%,3%,2%,4,"1,295",± 2.5%
IBD/TIPP[11],"November 3–6, 2016",41%,43%,6%,2%,2,"1,026",± 3.1%
Monmouth University[12],"November 3–6, 2016",50%,44%,4%,1%,6,802,± 3.6%
Ipsos/Reuters[13],"November 2–6, 2016",42%,39%,6%,3%,3,"2,195",± 2.4%
CBS News/New York Times[14],"November 2–6, 2016",45%,41%,5%,2%,4,"1,426",± 3.0%
Rasmussen Reports[557],"November 2–6, 2016",45%,43%,4%,2%,2,"1,500",± 2.5%
NBC News/SurveyMonkey[15],"October 31– November 6, 2016",47%,41%,6%,3%,6,"70,194",± 1.0%
Politico/Morning Consult[558],"November 4–5, 2016",45%,42%,8%,2%,3,"1,482",± 3.0%
NBC News/Wall Street Journal[17],"November 3–5, 2016",44%,40%,6%,2%,4,"1,282",± 2.73%
ABC News/Washington Post[18],"November 2–5, 2016",47%,43%,4%,2%,4,"1,937",± 2.5%
IBD/TIPP[19],"November 2–5, 2016",43%,44%,5%,2%,1,903,± 3.3%
Franklin Pierce University/Boston Herald[559],"November 1–5, 2016",48%,44%,4%,2%,4,"1,009",± 3.1%
ABC News/Washington Post[22],"November 1–4, 2016",48%,43%,4%,2%,5,"1,685",± 2.5%
IBD/TIPP[23],"November 1–4, 2016",44%,44%,5%,2%,Tied,804,± 3.5%
Ipsos/Reuters[24],"October 31 – November 4, 2016",43%,39%,6%,2%,4,"2,244",± 2.4%
Rasmussen Reports[560],"November 1–3, 2016",44%,44%,4%,1%,Tied,"1,500",± 2.5%
Fox News[27],"November 1–3, 2016",45%,43%,5%,2%,2,"1,107",± 3.0%
McClatchy/Marist[28],"November 1–3, 2016",44%,43%,6%,2%,1,940,± 3.2%
IBD/TIPP[31],"October 30 – November 3, 2016",44%,44%,4%,2%,Tied,898,± 3.3%
ABC News/Washington Post[30],"October 31 – November 3, 2016",47%,43%,4%,2%,4,"1,419",± 3.0%
Ipsos/Reuters[29],"October 30 – November 3, 2016",44%,37%,6%,2%,7,"2,021",± 2.6%
Gravis Marketing/Breitbart News[561],"November 1–2, 2016",47%,45%,3%,1%,2,"2,435",± 2.0%
Rasmussen Reports[562],"October 31 – November 2, 2016",42%,45%,4%,1%,3,"1,500",± 2.5%
ABC News/Washington Post[33],"October 30 – November 2, 2016",47%,44%,3%,2%,3,"1,151",± 3.0%
IBD/TIPP[35],"October 29 – November 2, 2016",44%,44%,4%,2%,Tied,867,± 3.4%
Ipsos/Reuters[34],"October 29 – November 2, 2016",45%,37%,5%,2%,8,"1,858",± 2.6%
Rasmussen Reports[563],"October 30 – November 1, 2016",44%,44%,5%,2%,Tied,"1,500",± 2.5%
YouGov/Economist[40],"October 30 – November 1, 2016",46%,43%,4%,2%,3,"1,233",± 3.2%
ABC News/Washington Post[37],"October 29 – November 1, 2016",47%,45%,3%,2%,2,"1,167",± 3.0%
CBS News/New York Times[38],"October 28 – November 1, 2016",45%,42%,5%,4%,3,862,± 3.4%
Ipsos/Reuters[39],"October 28 – November 1, 2016",45%,37%,5%,2%,8,"1,772",± 3.0%
IBD/TIPP[41],"October 27 – November 1, 2016",44%,44%,4%,2%,Tied,862,± 3.4%
ABC News/Washington Post[44],"October 28–31, 2016",46%,46%,3%,2%,Tied,"1,167",± 3.0%
Rasmussen Reports[564],"October 27–31, 2016",45%,45%,5%,2%,Tied,"1,500",± 2.5%
IBD/TIPP[45],"October 26–31, 2016",45%,44%,4%,2%,1,"1,018",± 3.2%
Politico/Morning Consult[46],"October 29–30, 2016",42%,39%,7%,5%,3,"1,772",±2.0%
ABC News/Washington Post[48],"October 27–30, 2016",45%,46%,3%,2%,1,"1,167",± 3.0%
Ipsos/Reuters[49],"October 26–30, 2016",43%,37%,6%,1%,6,"1,264",± 3.0%
Rasmussen Reports[565],"October 26–30, 2016",45%,42%,5%,2%,3,"1,500",± 2.5%
IBD/TIPP[50],"October 25–30, 2016",45%,44%,4%,2%,1,993,± 3.2%
NBC News/SurveyMonkey[52],"October 24–30, 2016",47%,41%,6%,3%,6,"40,816",±1.0%
ABC News/Washington Post[53],"October 26–29, 2016",46%,45%,4%,2%,1,"1,165",± 3.0%
IBD/TIPP[54],"October 24–29, 2016",44%,42%,6%,2%,2,"1,039",± 3.3%
Red Oak Strategic/Google Consumer Surveys[566],"October 27–28, 2016",37%,37%,6%,2%,Tied,943,± 3.7%
Morning Consult[56],"October 27–28, 2016",42%,39%,8%,4%,3,"1,794",± 2.0%
ABC News/Washington Post[57],"October 25–28, 2016",46%,45%,4%,2%,1,"1,160",± 3.0%
IBD/TIPP[58],"October 23–28, 2016",45%,41%,7%,2%,4,"1,013",± 3.3%
Rasmussen Reports[567],"October 25–27, 2016",45%,45%,3%,2%,Tied,"1,500",±2.5%
ABC News/Washington Post[59],"October 24–27, 2016",47%,45%,4%,2%,2,"1,148",±3.0%
IBD/TIPP[60],"October 22–27, 2016",44%,41%,7%,2%,3,973,± 3.3%
