,state,year,incomepcap
76,Alaska,1976,12109.0
77,Alaska,1977,12388.0
78,Alaska,1978,12495.0
79,Alaska,1979,13199.0
80,Alaska,1980,14975.0
81,Alaska,1981,16528.0
82,Alaska,1982,18819.0
83,Alaska,1983,18843.0
84,Alaska,1984,19395.0
85,Alaska,1985,20104.0
86,Alaska,1986,19673.0
87,Alaska,1987,19244.0
88,Alaska,1988,19848.0
89,Alaska,1989,21525.0
90,Alaska,1990,22594.0
91,Alaska,1991,23092.0
92,Alaska,1992,23706.0
93,Alaska,1993,24478.0
94,Alaska,1994,25186.0
95,Alaska,1995,25778.0
96,Alaska,1996,26179.0
97,Alaska,1997,27197.0
98,Alaska,1998,27943.0
99,Alaska,1999,28538.0
100,Alaska,2000,30508.0
101,Alaska,2001,32251.0
102,Alaska,2002,33174.0
103,Alaska,2003,33657.0
104,Alaska,2004,34993.0
105,Alaska,2005,36911.0
106,Alaska,2006,38951.0
107,Alaska,2007,41316.0
108,Alaska,2008,44801.0
109,Alaska,2009,43233.0
110,Alaska,2010,44205.0
111,Alaska,2011,52368.0
112,Alaska,2012,53597.0
113,Alaska,2013,52682.0
114,Alaska,2014,55775.0
115,Alaska,2015,57562.0
116,Alaska,2016,56217.0
117,Alaska,2017,57295.0
118,Alaska,2018,60234.0
119,Alaska,2019,62629.0
120,Alaska,2020,
197,Alabama,1976,5313.0
198,Alabama,1977,5794.0
199,Alabama,1978,6464.0
200,Alabama,1979,7139.0
201,Alabama,1980,7825.0
202,Alabama,1981,8659.0
203,Alabama,1982,9152.0
204,Alabama,1983,9772.0
205,Alabama,1984,10752.0
206,Alabama,1985,11504.0
207,Alabama,1986,12080.0
208,Alabama,1987,12735.0
209,Alabama,1988,13639.0
210,Alabama,1989,14776.0
211,Alabama,1990,15618.0
212,Alabama,1991,16337.0
213,Alabama,1992,17264.0
214,Alabama,1993,17766.0
215,Alabama,1994,18656.0
216,Alabama,1995,19551.0
217,Alabama,1996,20245.0
218,Alabama,1997,21118.0
219,Alabama,1998,22217.0
220,Alabama,1999,22961.0
221,Alabama,2000,24067.0
222,Alabama,2001,25072.0
223,Alabama,2002,25762.0
224,Alabama,2003,26660.0
225,Alabama,2004,28256.0
226,Alabama,2005,29681.0
227,Alabama,2006,31208.0
228,Alabama,2007,32528.0
229,Alabama,2008,33952.0
230,Alabama,2009,32661.0
231,Alabama,2010,33516.0
232,Alabama,2011,34991.0
233,Alabama,2012,35877.0
234,Alabama,2013,36099.0
235,Alabama,2014,37256.0
236,Alabama,2015,38871.0
237,Alabama,2016,39509.0
238,Alabama,2017,41000.0
239,Alabama,2018,42676.0
240,Alabama,2019,44102.0
241,Alabama,2020,
318,Arkansas,1976,5157.0
319,Arkansas,1977,5657.0
320,Arkansas,1978,6469.0
321,Arkansas,1979,7020.0
322,Arkansas,1980,7521.0
323,Arkansas,1981,8508.0
324,Arkansas,1982,8947.0
325,Arkansas,1983,9463.0
326,Arkansas,1984,10486.0
327,Arkansas,1985,11128.0
328,Arkansas,1986,11625.0
329,Arkansas,1987,12023.0
330,Arkansas,1988,12855.0
331,Arkansas,1989,13727.0
332,Arkansas,1990,14402.0
333,Arkansas,1991,15103.0
334,Arkansas,1992,16204.0
335,Arkansas,1993,16692.0
336,Arkansas,1994,17496.0
337,Arkansas,1995,18260.0
338,Arkansas,1996,19170.0
339,Arkansas,1997,19846.0
340,Arkansas,1998,20798.0
341,Arkansas,1999,21556.0
342,Arkansas,2000,22574.0
343,Arkansas,2001,23864.0
344,Arkansas,2002,24260.0
345,Arkansas,2003,25407.0
346,Arkansas,2004,26810.0
347,Arkansas,2005,27858.0
348,Arkansas,2006,29385.0
349,Arkansas,2007,31353.0
350,Arkansas,2008,32834.0
351,Arkansas,2009,31969.0
352,Arkansas,2010,32678.0
353,Arkansas,2011,33856.0
354,Arkansas,2012,36231.0
355,Arkansas,2013,36224.0
356,Arkansas,2014,38247.0
357,Arkansas,2015,39491.0
358,Arkansas,2016,40360.0
359,Arkansas,2017,41622.0
360,Arkansas,2018,43290.0
361,Arkansas,2019,44582.0
362,Arkansas,2020,
439,Arizona,1976,6061.0
440,Arizona,1977,6615.0
441,Arizona,1978,7532.0
442,Arizona,1979,8509.0
443,Arizona,1980,9484.0
444,Arizona,1981,10582.0
445,Arizona,1982,10882.0
446,Arizona,1983,11630.0
447,Arizona,1984,12803.0
448,Arizona,1985,13636.0
449,Arizona,1986,14335.0
450,Arizona,1987,14896.0
451,Arizona,1988,15583.0
452,Arizona,1989,16281.0
453,Arizona,1990,16806.0
454,Arizona,1991,17253.0
455,Arizona,1992,17762.0
456,Arizona,1993,18371.0
457,Arizona,1994,19385.0
458,Arizona,1995,20164.0
459,Arizona,1996,21159.0
460,Arizona,1997,22231.0
461,Arizona,1998,23722.0
462,Arizona,1999,24583.0
463,Arizona,2000,26293.0
464,Arizona,2001,27091.0
465,Arizona,2002,27459.0
466,Arizona,2003,28239.0
467,Arizona,2004,30080.0
468,Arizona,2005,32223.0
469,Arizona,2006,34326.0
470,Arizona,2007,35441.0
471,Arizona,2008,36054.0
472,Arizona,2009,33957.0
473,Arizona,2010,34553.0
474,Arizona,2011,34968.0
475,Arizona,2012,36125.0
476,Arizona,2013,36604.0
477,Arizona,2014,38232.0
478,Arizona,2015,39699.0
479,Arizona,2016,40779.0
480,Arizona,2017,42566.0
481,Arizona,2018,44558.0
482,Arizona,2019,45975.0
483,Arizona,2020,
560,California,1976,7835.0
561,California,1977,8572.0
562,California,1978,9572.0
563,California,1979,10719.0
564,California,1980,11928.0
565,California,1981,13144.0
566,California,1982,13742.0
567,California,1983,14517.0
568,California,1984,15913.0
569,California,1985,16777.0
570,California,1986,17526.0
571,California,1987,18447.0
572,California,1988,19515.0
573,California,1989,20448.0
574,California,1990,21380.0
575,California,1991,21734.0
576,California,1992,22439.0
577,California,1993,22744.0
578,California,1994,23448.0
579,California,1995,24498.0
580,California,1996,25788.0
581,California,1997,27063.0
582,California,1998,29195.0
583,California,1999,30679.0
584,California,2000,33404.0
585,California,2001,33896.0
586,California,2002,34049.0
587,California,2003,34975.0
588,California,2004,36887.0
589,California,2005,38731.0
590,California,2006,41518.0
591,California,2007,43211.0
592,California,2008,43993.0
593,California,2009,41353.0
594,California,2010,42578.0
595,California,2011,46177.0
596,California,2012,48819.0
597,California,2013,49312.0
598,California,2014,52376.0
599,California,2015,55853.0
600,California,2016,58074.0
601,California,2017,60581.0
602,California,2018,63759.0
603,California,2019,66745.0
604,California,2020,
681,Colorado,1976,6880.0
682,Colorado,1977,7535.0
683,Colorado,1978,8485.0
684,Colorado,1979,9502.0
685,Colorado,1980,10714.0
686,Colorado,1981,12078.0
687,Colorado,1982,12904.0
688,Colorado,1983,13538.0
689,Colorado,1984,14669.0
690,Colorado,1985,15267.0
691,Colorado,1986,15713.0
692,Colorado,1987,16205.0
693,Colorado,1988,17072.0
694,Colorado,1989,18398.0
695,Colorado,1990,19377.0
696,Colorado,1991,20123.0
697,Colorado,1992,21102.0
698,Colorado,1993,22152.0
699,Colorado,1994,23237.0
700,Colorado,1995,24575.0
701,Colorado,1996,25964.0
702,Colorado,1997,27402.0
703,Colorado,1998,29174.0
704,Colorado,1999,30919.0
705,Colorado,2000,33986.0
706,Colorado,2001,35355.0
707,Colorado,2002,35131.0
708,Colorado,2003,35312.0
709,Colorado,2004,36849.0
710,Colorado,2005,38795.0
711,Colorado,2006,41181.0
712,Colorado,2007,42724.0
713,Colorado,2008,44164.0
714,Colorado,2009,41317.0
715,Colorado,2010,42226.0
716,Colorado,2011,43568.0
717,Colorado,2012,45660.0
718,Colorado,2013,47295.0
719,Colorado,2014,50687.0
720,Colorado,2015,52219.0
721,Colorado,2016,52431.0
722,Colorado,2017,55550.0
723,Colorado,2018,58836.0
724,Colorado,2019,61159.0
725,Colorado,2020,
802,Connecticut,1976,7878.0
803,Connecticut,1977,8684.0
804,Connecticut,1978,9656.0
805,Connecticut,1979,10855.0
806,Connecticut,1980,12321.0
807,Connecticut,1981,13780.0
808,Connecticut,1982,14849.0
809,Connecticut,1983,15737.0
810,Connecticut,1984,17496.0
811,Connecticut,1985,18635.0
812,Connecticut,1986,19895.0
813,Connecticut,1987,21573.0
814,Connecticut,1988,23557.0
815,Connecticut,1989,25397.0
816,Connecticut,1990,26198.0
817,Connecticut,1991,26430.0
818,Connecticut,1992,28287.0
819,Connecticut,1993,29051.0
820,Connecticut,1994,29891.0
821,Connecticut,1995,31366.0
822,Connecticut,1996,32835.0
823,Connecticut,1997,34877.0
824,Connecticut,1998,37226.0
825,Connecticut,1999,38718.0
826,Connecticut,2000,41920.0
827,Connecticut,2001,43561.0
828,Connecticut,2002,43243.0
829,Connecticut,2003,43576.0
830,Connecticut,2004,46174.0
831,Connecticut,2005,48134.0
832,Connecticut,2006,52324.0
833,Connecticut,2007,55859.0
834,Connecticut,2008,56904.0
835,Connecticut,2009,53573.0
836,Connecticut,2010,54877.0
837,Connecticut,2011,63793.0
838,Connecticut,2012,64902.0
839,Connecticut,2013,63539.0
840,Connecticut,2014,66469.0
841,Connecticut,2015,68340.0
842,Connecticut,2016,69886.0
843,Connecticut,2017,71699.0
844,Connecticut,2018,74791.0
845,Connecticut,2019,77273.0
846,Connecticut,2020,
923,District of Columbia,1976,8728.0
924,District of Columbia,1977,9639.0
925,District of Columbia,1978,10367.0
926,District of Columbia,1979,11224.0
927,District of Columbia,1980,12218.0
928,District of Columbia,1981,13381.0
929,District of Columbia,1982,14570.0
930,District of Columbia,1983,15379.0
931,District of Columbia,1984,16986.0
932,District of Columbia,1985,18051.0
933,District of Columbia,1986,18932.0
